,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
2818,2015 Mahindra XUV500,W8,₹ 9.9 Lakh,Jun-15,"80,000 km",Diesel,15.1 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Original Paint, Non Accidental, Single Owner, Alloy Wheels, Finance Available, Service History Available, Test Drive Available, Roadside Assistance Available & Rear view Camera",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2819,2019 Mercedes-Benz S-Class,Maybach S 500,₹ 1.9 Crore,Jun-19,"23,000 km",Petrol,"Automatic - 9 Gears, Paddle Shift, Sport Mode ",Automatic,Black,Not Available,First,Registered at,"Excellent Condition, Original Paint, Non Accidental, Single Owner, Alloy Wheels & Rear view Camera",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2820,2019 Mercedes-Benz GLS,350 d,₹ 78 Lakh,Jun-19,"48,000 km",Diesel,11.5 kmpl,Automatic,White,Not Available,Second,Registered at,"Very Good Condition, Certified Car, Non Accidental & Original Paint",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2821,2014 Hyundai Verna,Fluidic 1.6 VTVT SX,₹ 7.5 Lakh,Jun-14,"40,000 km",Petrol,FWD ,Manual,Red,Not Available,First,Registered at,"Very Good Condition, Single Owner & Finance Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2822,2018 Hyundai Elite i20,Sportz 1.2,₹ 7.5 Lakh,Jun-18,"17,000 km",Petrol,19.8 kmpl,Manual,Red,Not Available,First,Registered at,"Very Good Condition, Single Owner & Finance Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2823,2007 Toyota Camry,W2 AT,₹ 7.75 Lakh,Jun-07,"64,000 km",Petrol,9.08 kmpl,Automatic,White,Not Available,First,Registered at,Good Condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2824,2017 Volvo XC90,D5 AWD,₹ 49 Lakh,Jun-17,"70,000 km",Diesel,14.7 kmpl,Automatic,White,Not Available,First,Registered at,Good Condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2825,2021 MG Hector Plus,Sharp 2.0 Diesel,₹ 19.9 Lakh,Jun-21,"38,000 km",Diesel,16.6 kmpl,Manual,White,Not Available,First,Registered at,"2020/2021 Regd 
MG HECTOR PLUS 
DIESEL SHARP
PANORAMIC SUNROOF 
38000 kms 
Single Owner 
360 Camera 
Price 19.90 Lacs",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2826,2017 Honda Jazz,V CVT Petrol,₹ 7 Lakh,Jun-17,"34,000 km",Petrol,19 kmpl,Automatic,Brown,Not Available,First,Registered at,"Excellent Condition, Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available, Service History Available & Test Drive Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2827,2018 Ford Ecosport,S Diesel,₹ 9.75 Lakh,Jun-18,"34,000 km",Diesel,23 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available & Test Drive Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2828,2012 Audi A7,Sportback 3.0 TDI quattro,₹ 19.5 Lakh,Jun-12,"81,000 km",Diesel,13.88 kmpl,Automatic,Red,Not Available,Second,Registered at,"Non Accidental, Alloy Wheels, Rear view Camera & Good Condition",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2829,2021 Renault Kiger,RXT Turbo CVT,₹ 9.35 Lakh,Jun-21,"7,600 km",Petrol,152 Nm @ 2200 rpm ,Automatic,Blue,Not Available,First,Registered at,well maintained car.. Automatic transmission,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
